country,cac
FJ,inf
GM,inf
FK,inf
TM,inf
TJ,inf
SJ,inf
CV,inf
MS,inf
TF,inf
BT,inf
BQ,inf
BF,inf
YE,inf
NE,inf
AS,inf
ML,inf
SM,inf
UNKNOWN,588.1
SR,81.4
GY,43.6
AI,36.6
HT,36.2
LC,33.9
BZ,30.2
MO,29.9
TC,27.7
VC,23.5
SX,23.4
GD,18.7
HR,18.3
DM,18.2
VG,17.4
SK,16.9
PT,16.4
AW,16.2
CW,16.1
JM,15.9
QA,15.8
NL,15.6
PR,15.1
GR,14.7
KN,14.6
AD,14.2
KY,13.9
CA,13.8
CH,13.8
IT,13.7
AT,13.7
LI,13.6
BE,13.3
KW,13.1
SI,13.1
OM,12.6
US,12.6
DO,12.6
TT,12.2
AU,11.9
BB,11.7
CZ,11.6
TW,11.5
SV,11.4
IL,11.4
SE,11.4
BO,11.1
AE,10.9
EC,10.8
BH,10.7
ES,10.5
CO,10.5
LU,10
DK,9.9
GP,9.9
BS,9.9
MU,9.9
ZA,9.6
PY,9.6
BM,9.6
BN,9.6
MT,9.4
VI,9.4
CL,9.2
RE,9.1
CR,9.1
SG,9
FR,8.9
NI,8.9
HK,8.8
HN,8.7
NZ,8.7
MX,8.7
AG,8.7
GF,8.7
NO,8.5
DE,8.5
JE,8.4
MQ,8.4
NC,8.3
PF,8.2
LV,8.1
AR,7.9
VE,7.6
UY,7.6
PA,7.5
GT,7.5
FO,7.5
PE,7.4
GB,7.1
FI,6.6
JP,6.5
GI,6
MC,5.8
NP,5.8
GL,5.6
TN,5.2
IM,5.1
IS,5
SA,4.8
DZ,4.8
SC,4.7
PM,4.6
IE,4.5
RS,4.4
GU,3.7
KR,3.6
WF,3.2
BR,3.2
PL,3.1
BD,3.1
BY,2.9
KG,2.1
KZ,2
BA,2
AZ,1.9
ZW,1.8
AL,1.8
TR,1.8
UZ,1.8
MK,1.6
HU,1.5
MA,1.4
UG,1.3
MD,1.3
BW,1.3
LK,1.3
LT,1.2
PK,1.2
PH,1.2
BG,1.2
KH,1.2
IN,1.1
VN,1
AM,1
ID,0.9
MW,0.8
RO,0.8
LB,0.8
EG,0.7
JO,0.7
CY,0.7
MY,0.7
AO,0.6
KE,0.6
EE,0.6
LA,0.6
TH,0.5
CI,0.5
SN,0.5
TG,0.5
UA,0.5
CM,0.5
TZ,0.4
MZ,0.4
ZM,0.4
LR,0.3
GH,0.3
MN,0.3
PG,0.3
NG,0.3
BJ,0.2
RW,0.2
IR,0.2
GA,0.1
no country,0.1
CX,0
EU,0
PS,0
AF,0
MV,0
MR,0
MM,0
SZ,0
MG,0
MF,0
ME,0
LY,0
LS,0
YT,0
TD,0
CG,0
IQ,0
TL,0
RU,0
GQ,0
GN,0
GG,0
GE,0
BL,0
CN,0
CD,0
DJ,
GW,
MP,
PW,
SL,
ST,
XK,
